(NUM      NOMUSI      SSIS  SITU CLAST CLAST N       SMERC NUNID PROP        POT     FCAR        CGER     CCC  TCOMB/DINI  GTMIN1  GTMIN2  GTMIN3  TIF         IP          GTMINe OUTROS)
(XXXXX  XXXXXXXXXXXX  XXXX  XXX  XXXX  XXXXXXXXXXXX  XXXX  XXXX  XXXXXXXXXX  XXXXXX  XXXXXXXXXX  XXXXXXX  XXX  XXXXXXXXXX  XXXXXX  XXXXXX  XXXXXX  XXXXXXXXXX  XXXXXXXXXX  XXXXXX ......)
194003  T.NORTE 2                                                                                                                                                                
194004  T.NORTE 2                                                                                                                                                                
   223  TERMOIRAPE I     1   NE                                                                                                                                                0.
223001  TERMOIRAPE I                                                                                                                                                     
   090  TERMOMACAE       1   EX                                                                                                                                                0.
090001  TERMOMACAE                                                                                                                                                       
090002  TERMOMACAE                                                                                                                                                       
090003  TERMOMACAE                                                                                                                                                       
090004  TERMOMACAE                                                                                                                                                       
090005  TERMOMACAE                                                                                                                                                       
090006  TERMOMACAE                                                                                                                                                       
090007  TERMOMACAE                                                                                                                                                       
090008  TERMOMACAE                                                                                                                                                       
090009  TERMOMACAE                                                                                                                                                       
090010  TERMOMACAE                                                                                                                                                       
090011  TERMOMACAE                                                                                                                                                       
090012  TERMOMACAE                                                                                                                                                       
090013  TERMOMACAE                                                                                                                                                       
090014  TERMOMACAE                                                                                                                                                       
090015  TERMOMACAE                                                                                                                                                       
090016  TERMOMACAE                                                                                                                                                       
090017  TERMOMACAE                                                                                                                                                       
090018  TERMOMACAE                                                                                                                                                       
090019  TERMOMACAE                                                                                                                                                       
090020  TERMOMACAE                                                                                                                                                       
   047  TERMORIO         1   NE                                                                                                                                             100.5
047001  TERMORIO                                                                                                                                                         
047002  TERMORIO                                                                                                                                                         
047003  TERMORIO                                                                                                                                                         
047004  TERMORIO                                                                                                                                                         
047005  TERMORIO                                                                                                                                                         
047006  TERMORIO                                                                                                                                                         
047007  TERMORIO                                                                                                                                                         
047008  TERMORIO                                                                                                                                                         
047009  TERMORIO                                                                                                                                                         
   215  TERMORIO_L1      1   EX                                                                                                                                             74.73
215001  TERMORIO_L1                                                                                                                                                      
   216  TERMORIO_L13     1   EX                                                                                                                                             25.77
216001  TERMORIO_L13                                                                                                                                                     
   068  TRES LAGOAS      1   NE                                                                                                                                                0.
068001  TRES LAGOAS                                                                                                                                                              
068002  TRES LAGOAS                                                                                                                                                              
068003  TRES LAGOAS                                                                                                                                                              
068004  TRES LAGOAS                                                                                                                                                              
068005  TRES LAGOAS                                                                                                                                                              
068006  TRES LAGOAS                                                                                                                                                              
   019  UTE BRASILIA     1   EX                                                                                                                                                0.
019001  UTE BRASILIA                                                                                                                                                     
019002  UTE BRASILIA                                                                                                                                                     
   049  VIANA            1   EX                                                                                                                                                0.
049001  VIANA                                                                                                                                                            
049002  VIANA                                                                                                                                                            
049003  VIANA                                                                                                                                                            
049004  VIANA                                                                                                                                                            
   034  W.ARJONA         1   EX                                                                                                                                                0.
034001  W.ARJONA                                                                                                                                                         
034002  W.ARJONA                                                                                                                                                         
034003  W.ARJONA                                                                                                                                                         
034004  W.ARJONA                                                                                                                                                         
034005  W.ARJONA                                                                                                                                                         
   108  XAVANTES         1   EX                                                                                                                                                0.
108001  XAVANTES                                                                                                                                                         
108002  XAVANTES                                                                                                                                                         
   048  ARAUCARIA        2   EX                                                                                                                                                0.
048001  ARAUCARIA                                                                                                                                                        
048002  ARAUCARIA                                                                                                                                                        
048003  ARAUCARIA                                                                                                                                                        
   037  ARGENTINA 1      2   EX                                                                                                                                                0.
037001  ARGENTINA 1                                                                                                                                                      
   071  ARGENTINA 1B     2   EX                                                                                                                                                0.
071001  ARGENTINA 1B                                                                                                                                                     
   038  ARGENTINA 2A     2   EX                                                                                                                                                0.
038001  ARGENTINA 2A                                                                                                                                                     
   039  ARGENTINA 2B     2   EX                                                                                                                                                0.
039001  ARGENTINA 2B                                                                                                                                                     
   040  ARGENTINA 2C     2   EX                                                                                                                                                0.
040001  ARGENTINA 2C                                                                                                                                                     
   059  ARGENTINA 2D     2   EX                                                                                                                                                0.
059001  ARGENTINA 2D                                                                                                                                                     
   156  CANDIOTA 3       2   EX                                                                                                                                              210.
156001  CANDIOTA 3                                                                                                                                                       
   064  CANOAS           2   EX                                                                                                                                                0.
064001  CANOAS                                                                                                                                                           
064002  CANOAS                                                                                                                                                           
   169  CISFRAMA         2   EX                                                                                                                                                0.
169001  CISFRAMA                                                                                                                                                         
   028  FIGUEIRA         2   EX                                                                                                                                               20.
028001  FIGUEIRA                                                                                                                                                         
028002  FIGUEIRA                                                                                                                                                         
   026  J.LACERDA A1     2   EX                                                                                                                                               30.
026001  J.LACERDA A1                                                                                                                                                     
026002  J.LACERDA A1                                                                                                                                                     
   027  J.LACERDA A2     2   NC                                                                                                                                               96. 
027001  J.LACERDA A2                                                                                                                                                     
027002  J.LACERDA A2                                                                                                                                                     
   025  J.LACERDA B      2   EX                                                                                                                                              208.
025001  J.LACERDA B                                                                                                                                                      
025002  J.LACERDA B                                                                                                                                                      
   024  J.LACERDA C      2   EX                                                                                                                                              296.
024001  J.LACERDA C                                                                                                                                                      
   030  NUTEPA           2   EX                                                                                                                                                0.
030001  NUTEPA                                                                                                                                                           
030002  NUTEPA                                                                                                                                                           
030003  NUTEPA                                                                                                                                                           
   022  P.MEDICI A       2   EX                                                                                                                                                0.
022001  P.MEDICI A                                                                                                                                                       
022002  P.MEDICI A                                                                                                                                                       
   023  P.MEDICI B       2   NC                                                                                                                                                0.
023001  P.MEDICI B                                                                                                                                                       
023002  P.MEDICI B                                                                                                                                                       
   107  PAMPA SUL        2   NE                                                                                                                                              170.
107001  PAMPA SUL                                                                                                                                                        
   032  S.JERONIMO       2   EX                                                                                                                                                0.
032001  S.JERONIMO                                                                                                                                                       
032002  S.JERONIMO                                                                                                                                                       
032003  S.JERONIMO                                                                                                                                                       
   149  SAO SEPE         2   NE                                                                                                                                                0.
149001  SAO SEPE                                                                                                                                                         
   035  URUGUAIANA       2   EX                                                                                                                                              480.
035001  URUGUAIANA                                                                                                                                                       
