ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ
XXXX  XXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X
2021   14  -0.39  -0.39  -0.57  -1.08  -0.43  -1.94  -2.03  -1.60  -1.37  -0.40  -1.21  -0.40
2022   14  -0.40  -0.40  -0.58  -1.11  -0.43  -1.99  -2.08  -1.64  -1.40  -0.40  -1.23  -0.40
2023   14  -0.40  -0.40  -0.59  -1.13  -0.44  -2.04  -2.13  -1.68  -1.43  -0.41  -1.26  -0.41
2019   15   0.00   0.00   0.00   0.00   0.00  -2.70  -2.93  -2.39  -2.65  -0.27  -1.00  -0.26
2020   15  -0.26  -0.26  -1.14  -1.83  -0.70  -2.77  -3.01  -2.45  -2.72  -0.27  -1.02  -0.26
2021   15  -0.26  -0.26  -1.16  -1.88  -0.71  -2.84  -3.09  -2.52  -2.79  -0.27  -1.05  -0.26
2022   15  -0.26  -0.26  -1.19  -1.92  -0.73  -2.92  -3.17  -2.58  -2.86  -0.28  -1.07  -0.27
2023   15  -0.27  -0.27  -1.22  -1.97  -0.74  -2.99  -3.25  -2.64  -2.93  -0.28  -1.10  -0.27
2019   16   0.00   0.00   0.00   0.00   0.00  -0.16  -0.18  -0.14  -0.16  -0.01  -0.05  -0.01
2020   16  -0.01  -0.01  -0.08  -0.11  -0.04  -0.16  -0.18  -0.15  -0.17  -0.01  -0.06  -0.01
2021   16  -0.01  -0.01  -0.09  -0.11  -0.04  -0.17  -0.18  -0.15  -0.17  -0.01  -0.06  -0.01
2022   16  -0.01  -0.01  -0.09  -0.12  -0.05  -0.17  -0.19  -0.16  -0.18  -0.01  -0.06  -0.01
2023   16  -0.01  -0.01  -0.09  -0.12  -0.05  -0.17  -0.19  -0.16  -0.18  -0.01  -0.06  -0.01
2019   17   0.00   0.00   0.00   0.00   0.00 -68.64 -74.27 -65.84 -73.72 -17.68 -39.89  -6.01
2020   17  -8.83  -6.02 -22.82 -48.21 -31.55 -70.50 -76.30 -67.63 -75.73 -18.09 -40.93  -6.09
2021   17  -8.98  -6.10 -23.37 -49.46 -32.34 -72.37 -78.33 -69.42 -77.75 -18.51 -41.98  -6.17
2022   17  -9.14  -6.18 -23.91 -50.71 -33.13 -74.24 -80.36 -71.21 -79.76 -18.92 -43.03  -6.25
2023   17  -9.30  -6.26 -24.46 -51.96 -33.91 -76.11 -82.39 -73.00 -81.78 -19.33 -44.08  -6.33
2019   18   0.00   0.00   0.00   0.00   0.00 -13.33 -14.30 -11.04 -13.97  -5.02  -8.10  -2.44
2020   18  -3.36  -2.44  -2.94  -8.57  -8.81 -13.66 -14.67 -11.31 -14.33  -5.12  -8.29  -2.47
2021   18  -3.41  -2.47  -2.98  -8.77  -9.01 -14.00 -15.03 -11.59 -14.69  -5.22  -8.48  -2.50
2022   18  -3.47  -2.49  -3.02  -8.97  -9.21 -14.34 -15.40 -11.86 -15.04  -5.32  -8.67  -2.52
2023   18  -3.52  -2.52  -3.06  -9.16  -9.42 -14.68 -15.76 -12.13 -15.40  -5.42  -8.85  -2.55
2019   20   0.00   0.00   0.00   0.00   0.00  -4.92  -5.34  -5.31  -5.60  -0.77  -0.14  -0.14
2020   20  -0.14  -0.14  -1.79  -3.34  -3.60  -5.15  -5.60  -5.57  -5.87  -0.80  -0.14  -0.14
2021   20  -0.14  -0.14  -1.87  -3.49  -3.76  -5.39  -5.86  -5.82  -6.14  -0.84  -0.14  -0.14
