NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 213 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
 213 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
 213 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
 214 POTEF    65.25  1 2018 12 2019  EBOLT_L13                                                                                                                                                          
 214 GTMIN  0000.00  1 2018  1 2018                                                                                                                                                                     
 214 GTMIN  0000.00  2 2018  2 2018                                                                                                                                                                     
 214 GTMIN  0000.00  3 2018  3 2018                                                                                                                                                                     
 214 GTMIN  0000.00  4 2018  4 2018                                                                                                                                                                     
 214 GTMIN  0000.00 10 2018 10 2018                                                                                                                                                                     
 214 GTMIN  0000.00 11 2018 11 2018                                                                                                                                                                     
 214 GTMIN  0000.00 12 2018 12 2018                                                                                                                                                                     
 214 GTMIN  0000.00  1 2019  1 2019                                                                                                                                                                     
 214 GTMIN  0000.00  2 2019  2 2019                                                                                                                                                                     
 214 GTMIN  0000.00  3 2019  3 2019                                                                                                                                                                     
 214 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
  62 POTEF   385.90  1 2020          ELETROBOLT                                                                                                                                                         
 110 POTEF   572.10  1 2018          F.GASPARIAN                                                                                                                                                        
 110 FCMAX    65.51 10 2018                                                                                                                                                                             
  54 POTEF    87.05  1 2018          JUIZ DE FORA                                                                                                                                                       
  15 POTEF   204.00  1 2018          LINHARES                                                                                                                                                           
  15 GTMIN  0000.00  1 2018  6 2018                                                                                                                                                                     
  15 GTMIN  0000.00  7 2018 12 2018                                                                                                                                                                     
  15 GTMIN  0000.00  1 2019  3 2019                                                                                                                                                                     
  15 GTMIN  0000.00  4 2019  4 2019                                                                                                                                                                     
  15 GTMIN  0000.00  5 2019  6 2019                                                                                                                                                                     
  15 GTMIN  0000.00  7 2019 12 2019                                                                                                                                                                     
  15 GTMIN  0000.00  1 2020  3 2020                                                                                                                                                                     
  15 GTMIN  0000.00  4 2020  4 2020                                                                                                                                                                     
  15 GTMIN  0000.00  5 2020  6 2020                                                                                                                                                                     
  15 GTMIN  0000.00  7 2020  7 2020                                                                                                                                                                     
  15 IPTER     8.06  1 2019  1 2019                                                                                                                                                                     
  15 IPTER     8.93  2 2019  2 2019                                                                                                                                                                     
  15 IPTER     8.06  3 2019  3 2019                                                                                                                                                                     
  15 IPTER    54.17  4 2019  4 2019                                                                                                                                                                     
  15 IPTER    11.29  5 2019  5 2019                                                                                                                                                                     
  15 IPTER    11.67  6 2019  6 2019                                                                                                                                                                     
  15 IPTER    11.29  7 2019  8 2019                                                                                                                                                                     
  15 IPTER    11.67  9 2019  9 2019                                                                                                                                                                     
  15 IPTER    11.29 10 2019 10 2019                                                                                                                                                                     
  15 IPTER    11.67 11 2019 11 2019                                                                                                                                                                     
  15 IPTER    11.29 12 2019  1 2020                                                                                                                                                                     
  15 IPTER    12.07  2 2020  2 2020                                                                                                                                                                     
  15 IPTER    13.71  3 2020  3 2020                                                                                                                                                                     
