EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
21SUAPE II       170SUAPE II         17 01082019   1     22.43
21SUAPE II       170SUAPE II         17 01102019   1     22.43
68PETROBRAS       43TERMOBAHIA        1 13102019   6    185.90
68PETROBRAS       58TERMOCEARA        1 05092019  26     55.75
68PETROBRAS       58TERMOCEARA        3 02122019  15     56.24
68PETROBRAS       58TERMOCEARA        4 11092019   3     53.89
68PETROBRAS       83VALE DO ACU       2 02092019  45    185.14
23AMAZONAS       201APARECIDA         1 14082019   1     40.00
23AMAZONAS       201APARECIDA         1 06112019   1     40.00
23AMAZONAS       201APARECIDA         2 07082019   1     40.00
23AMAZONAS       201APARECIDA         2 30102019   1     40.00
23AMAZONAS       201APARECIDA         3 25092019   1     43.00
23AMAZONAS       201APARECIDA         4 28082019   1     43.00
23AMAZONAS       201APARECIDA         4 19112019   1     43.00
23AMAZONAS       140MAUA 3            1 08082019   3    189.55
23AMAZONAS       140MAUA 3            1 10092019   3    189.55
23AMAZONAS       140MAUA 3            1 10102019   3    189.55
23AMAZONAS       140MAUA 3            1 12112019   3    189.55
23AMAZONAS       140MAUA 3            1 12122019   3    189.55
23AMAZONAS       140MAUA 3            2 13082019   2    189.55
23AMAZONAS       140MAUA 3            2 17092019   2    189.55
23AMAZONAS       140MAUA 3            2 17102019   2    189.55
23AMAZONAS       140MAUA 3            2 22112019   2    189.55
23AMAZONAS       140MAUA 3            2 20122019   2    189.55
23AMAZONAS       140MAUA 3            3 13082019   1    211.65
23AMAZONAS       140MAUA 3            3 17092019   1    211.65
23AMAZONAS       140MAUA 3            3 17102019   1    211.65
23AMAZONAS       140MAUA 3            3 22112019   1    211.65
23AMAZONAS       140MAUA 3            3 20122019   1    211.65
