 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1   2               0
2022      855.   2945.   2949.   2957.   2949.   2950.   2949.   2943.   2950.   2955.   2956.   2943. 

2018     1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000. 
2019     1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000. 
2020     1000.   1000.   1000.   1000.   1000.   1200.   1200.   1200.   1200.   1200.   1200.   1200. 
2021     1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200. 
2022     1200.   4928.   4926.   4922.   4926.   4925.   4926.   4929.   4925.   4922.   4922.   4929. 
   1   4               0                                                                              
2018     1635.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.
2019     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.
2020     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.
2021     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.
2022     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.

2018     2000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.
2019     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   8000.
2020     8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.
2021     8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.
2022     8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2018    40427.  42230.  41302.  39891.  38536.  37899.  37825.  38840.  39673.  40339.  39661.  39674. 
2019    42018.  43710.  42750.  41288.  39886.  39226.  39150.  40201.  41063.  41752.  41050.  41064. 
2020    43445.  45195.  44202.  42690.  41240.  40558.  40479.  41566.  42457.  43170.  42444.  42458. 
2021    44948.  46758.  45731.  44167.  42667.  41961.  41880.  43004.  43926.  44664.  43913.  43927. 
2022    46544.  48418.  47354.  45735.  44182.  43451.  43366.  44531.  45485.  46249.  45471.  45486. 
POS     46544.  48418.  47354.  45735.  44182.  43451.  43366.  44531.  45485.  46249.  45471.  45486. 
   2
2018    12366.  12891.  12191.  11333.  11078.  11115.  11260.  11296.  11157.  11373.  11634.  11765. 
2019    12821.  13313.  12590.  11703.  11440.  11479.  11628.  11665.  11522.  11745.  12015.  12150. 
2020    13256.  13765.  13017.  12100.  11829.  11868.  12022.  12061.  11913.  12143.  12422.  12562. 
2021    13752.  14280.  13505.  12554.  12272.  12313.  12473.  12513.  12360.  12598.  12888.  13033. 
2022    14321.  14871.  14064.  13073.  12779.  12822.  12989.  13030.  12871.  13119.  13421.  13572. 
POS     14321.  14871.  14064.  13073.  12779.  12822.  12989.  13030.  12871.  13119.  13421.  13572. 
   3
2018    11000.  11131.  11331.  11143.  10877.  10595.  10429.  10584.  10862.  11144.  11269.  11265. 
2019    11548.  11560.  11768.  11573.  11297.  11003.  10831.  10991.  11281.  11573.  11704.  11700. 
2020    12024.  12037.  12253.  12050.  11763.  11457.  11278.  11445.  11746.  12051.  12187.  12183. 
2021    12500.  12514.  12739.  12527.  12229.  11911.  11724.  11898.  12211.  12528.  12669.  12665. 
2022    13037.  13051.  13285.  13065.  12753.  12422.  12227.  12409.  12735.  13066.  13213.  13209. 
POS     13037.  13051.  13285.  13065.  12753.  12422.  12227.  12409.  12735.  13066.  13213.  13209. 
   4
2018     5600.   5681.   5781.   5796.   5764.   5579.   5616.   5888.   5949.   5869.   5832.   5716. 
2019     5980.   6044.   6151.   6167.   6133.   5937.   5975.   6265.   6330.   6245.   6205.   6082. 
2020     6353.   6421.   6534.   6551.   6514.   6306.   6348.   6655.   6724.   6634.   6591.   6461. 
2021     6761.   6833.   6953.   6972.   6933.   6711.   6755.   7082.   7156.   7060.   7015.   6876. 
2022     7197.   7274.   7402.   7422.   7380.   7144.   7191.   7539.   7617.   7515.   7467.   7320. 
POS      7197.   7274.   7402.   7422.   7380.   7144.   7191.   7539.   7617.   7515.   7467.   7320. 
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2018     2918.   2919.   3278.   4442.   5267.   5259.   5303.   5371.   5092.   5007.   5026.   4257. 
2019     3096.   3082.   3439.   4577.   5403.   5382.   5417.   5480.   5199.   5109.   5100.   4331. 
2020     3183.   3162.   3509.   4641.   5436.   5413.   5447.   5507.   5251.   5163.   5155.   4398. 
2021     3265.   3250.   3633.   4771.   5562.   5532.   5554.   5602.   5317.   5227.   5232.   4471. 
2022     3301.   3282.   3634.   4782.   5578.   5550.   5573.   5623.   5335.   5245.   5239.   4475. 
   2
2018     1723.   1566.   1703.   1792.   1750.   1936.   2057.   1983.   2045.   2288.   1938.   1760. 
2019     1762.   1582.   1717.   1808.   1767.   1954.   2072.   1997.   2062.   2307.   1954.   1778. 
2020     1776.   1599.   1738.   1826.   1784.   1981.   2100.   2023.   2103.   2352.   2008.   1828. 
2021     1829.   1643.   1786.   1871.   1829.   2024.   2144.   2063.   2126.   2376.   2016.   1835. 
