NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 174 IPTER     0.00 10 2022 10 2022
 174 IPTER    20.00 11 2022 11 2022
 174 IPTER     0.00 12 2022  7 2023
 174 IPTER    19.35  8 2023  8 2023
 174 IPTER     0.00  9 2023 11 2023
 174 IPTER   100.00 12 2023 12 2023
 137 POTEF  1298.96  1 2021 12 2023
 229 POTEF    50.00 11 2020 12 2023
 229 GTMIN     6.86 11 2020 12 2023
 182 POTEF   175.56  6 2019 12 2023
 182 FCMAX    41.94  6 2019  6 2019
 182 FCMAX    44.07  7 2019  7 2019
 182 FCMAX    46.64  8 2019  8 2019
 182 FCMAX    49.21  9 2019  9 2019
 182 FCMAX    51.78 10 2019 10 2019
 182 FCMAX    54.35 11 2019 11 2019
 182 FCMAX    56.90 12 2019 12 2020
 182 FCMAX    80.00  1 2021 12 2023
  50 POTEF   200.00  6 2019 12 2023
  50 FCMAX     0.00  6 2019 12 2023
 230 POTEF     5.00  2 2020 12 2023
 230 GTMIN     0.00  2 2020 12 2023
   9 POTEF    25.00  6 2019 12 2023
   9 FCMAX     0.00  6 2019 12 2023
   4 POTEF   436.00  6 2019 12 2023
   4 FCMAX     0.00  6 2019 12 2023
  86 POTEF   500.00  6 2019 12 2023
  86 FCMAX    70.00  6 2019  3 2021
  86 FCMAX   100.00  4 2021 12 2023
  86 IPTER     0.00  1 2020  9 2020
  86 IPTER    32.74 10 2020 10 2020
  86 IPTER    35.00 11 2020 12 2020
  86 IPTER    36.13  1 2021  1 2021
  86 IPTER    70.00  2 2021  3 2021
  86 IPTER     0.00  4 2021 12 2021
 146 POTEF    41.40  1 2020 12 2023
 217 POTEF   134.25  6 2019 12 2019
 218 POTEF   215.75  6 2019 12 2019
 194 POTEF   340.00  6 2019 12 2023
 194 FCMAX     0.00  6 2019 12 2023
 223 POTEF    50.00  7 2021 12 2023
  90 POTEF   928.70  6 2019 12 2023
  47 POTEF  1036.00  1 2020 12 2023
  47 GTMIN   100.50  1 2020  9 2021
  47 GTMIN   100.50 10 2021 10 2021
  47 GTMIN   100.50 11 2021 11 2021
  47 GTMIN   100.50 12 2021 12 2021
  47 GTMIN   100.50  1 2022  1 2022
  47 GTMIN   100.50  2 2022  2 2022
  47 GTMIN   100.50  3 2022  3 2022
  47 GTMIN   100.50  4 2022  9 2022
  47 GTMIN   100.50 10 2022 10 2022
  47 GTMIN   100.50 11 2022 11 2022
  47 GTMIN   100.50 12 2022  1 2023
  47 GTMIN   100.50  2 2023  2 2023
  47 GTMIN   100.50  3 2023  3 2023
  47 GTMIN   100.50  4 2023  9 2023
  47 GTMIN   100.50 10 2023 10 2023
  47 GTMIN   100.50 11 2023 11 2023
  47 GTMIN   100.50 12 2023 12 2023
 215 POTEF   770.33  6 2019 12 2019
 215 GTMIN    74.73  6 2019 12 2019
 216 POTEF   265.67  6 2019 12 2019
 216 GTMIN    25.77  6 2019 12 2019
  68 POTEF   350.00  1 2020 12 2023
  49 POTEF   174.60  6 2019 12 2023
 108 POTEF    53.58  6 2019 12 2023
  48 POTEF   484.50  6 2019 12 2023
  48 FCMAX     0.00  6 2019 12 2023
 237 POTEF    50.00  4 2022 12 2023
 237 GTMIN    20.00  4 2022 12 2023
 156 POTEF   350.00  6 2019 12 2023
 156 FCMAX    91.43  6 2019 12 2023
 156 GTMIN   210.00  6 2019  5 2020
 156 GTMIN   210.00  7 2020  5 2021
 156 GTMIN   210.00  7 2021  5 2022
 156 GTMIN   210.00  7 2022  5 2023
 156 GTMIN   210.00  7 2023 12 2023
 156 IPTER     0.00  1 2020  5 2020
 156 IPTER   100.00  6 2020  6 2020
 156 IPTER     0.00  7 2020  5 2021
 156 IPTER   100.00  6 2021  6 2021
 156 IPTER     0.00  7 2021  5 2022
 156 IPTER   100.00  6 2022  6 2022
 156 IPTER     0.00  7 2022  5 2023
 156 IPTER   100.00  6 2023  6 2023
 156 IPTER     0.00  7 2023 12 2023
  64 POTEF   248.57  6 2019 12 2023
  28 POTEF    20.00  6 2019 12 2023
  28 FCMAX    90.00  6 2019 12 2023
  28 GTMIN    10.86  8 2019 12 2019
  28 GTMIN     2.80  1 2020  1 2020
  28 GTMIN    10.86  2 2020 12 2020
  28 GTMIN     2.80  1 2021  1 2021
  28 GTMIN    10.86  2 2021 12 2021
  28 GTMIN     2.80  1 2022  1 2022
  28 GTMIN    10.86  2 2022 12 2022
